sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
58.0,53.0,2.0,1.0,,60000,$,"Independencia 3969, Caballito",-34.621238700000006,-58.421749899999995,2021-08-26T21:07:09.000Z,https://departamento.mercadolibre.com.ar/MLA-936082140-1-am-divi-en-2-lujo-balcon-sindep-3900-_JM#position=38&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
30.0,30.0,2.0,1.0,5900.0,24000,$,"Cordoba Al 4100, Palermo",-34.59678579999999,-58.4258741,2021-09-07T12:17:06.000Z,https://departamento.mercadolibre.com.ar/MLA-1102031576-departamento-palermo-_JM#position=39&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
45.0,45.0,3.0,2.0,2000.0,46900,$,"Juan B Justo 2634, Villa Crespo",-34.59775820000001,-58.4361075,2021-08-23T15:23:20.000Z,https://departamento.mercadolibre.com.ar/MLA-935509959-3-amb-d-u-e-n-o-muy-lum-camargo-1212-p-1-x-esc-exp-2000-_JM#position=40&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
53.0,48.0,2.0,1.0,7000.0,69000,U$S,"Bogota 2429, Flores",-34.625226500000004,-58.4647169,2021-09-08T15:26:14.000Z,https://departamento.mercadolibre.com.ar/MLA-1102292392-dueno-vende-departamento-2-ambientes-en-flores-_JM#position=41&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
100.0,85.0,3.0,2.0,,70000,$,"Monroe 5552, Villa Urquiza",-34.577299,-58.49133810000001,2021-10-11T19:19:32.000Z,https://departamento.mercadolibre.com.ar/MLA-1107771001-dueno-alquila-ph-3-ambientes-con-patio-en-villa-urquiza-_JM#position=42&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
80.0,73.0,3.0,2.0,8900.0,51000,$,"Gaona 3306, Flores",-34.6193958,-58.4717679,2021-09-18T04:58:33.000Z,https://departamento.mercadolibre.com.ar/MLA-1103888512-3-amb-lujo-dos-banos-gaona-3306-op-coch-_JM#position=43&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
44.0,40.0,2.0,1.0,8500.0,40000,$,"Congreso 4700, Villa Urquiza",-34.567428899999996,-58.4854569,2021-10-14T16:33:09.000Z,https://departamento.mercadolibre.com.ar/MLA-1108158008-dueno-directo-depto-2amb-villa-urquiza-_JM#position=44&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
37.0,37.0,2.0,1.0,7900.0,28000,$,"Billinghurst Al 300, Almagro",-34.6069236,-58.416272899999996,2021-07-19T12:42:53.000Z,https://departamento.mercadolibre.com.ar/MLA-930041867-departamento-almagro-_JM#position=45&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
30.0,30.0,1.0,1.0,,30000,$,"Pereyra Lucena 2500, Recoleta",-34.58389879999999,-58.4012456,2021-08-23T11:01:46.000Z,https://departamento.mercadolibre.com.ar/MLA-935469822-monoambiente-con-patio-cerrado-como-habitacin-mas-patio-_JM#position=46&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
80.0,70.0,4.0,3.0,20000.0,260000,U$S,"Luis Maria Campos 500, Las Cañitas",-34.567537,-58.4368811,2021-09-22T18:16:42.000Z,https://departamento.mercadolibre.com.ar/MLA-1104624664-espectacular-piso-14-vista-al-rio-i-m-p-e-c-a-b-l-e-oport--_JM#position=47&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
35.0,35.0,2.0,1.0,4500.0,29000,$,"Bogota Al 100, Caballito",-34.614604,-58.4377566,2021-08-12T18:56:38.000Z,https://departamento.mercadolibre.com.ar/MLA-934045915-departamento-caballito-_JM#position=48&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
