"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"mendes de andez 800",-34.6147,-58.44555,1,2,,1,52000,"$",70,0,"https://www.argenprop.com/ph-en-alquiler-en-caballito-2-ambientes--10713339",70,2,"argenprop"
"ciudad de la paz 3200",-34.5535,-58.4664,2,2,15,23000,65000,"$",56,3,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--10317347",59,3,"argenprop"
"av diaz velez 5100",-34.609,-58.43903,2,1,43,8000,43000,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--8486719",46,3,"argenprop"
"",,,1,1,,12000,40000,"$",48,2,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10713329",50,2,"argenprop"
"carlos antonio lopez 3900, piso pb",-34.59361,-58.51645,2,1,60,,45000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-3-ambientes--10713331",50,3,"argenprop"
"casco al 200",-34.63708,-58.52605,1,1,40,2700,23000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-liniers-2-ambientes--10657640",35,2,"argenprop"
"ramón l. falcón 7000, piso pb",-34.64029,-58.52575,3,1,,,45000,"$",80,0,"https://www.argenprop.com/ph-en-alquiler-en-liniers-4-ambientes--7287533",80,4,"argenprop"
"av b rivadavia 3400",-34.61081,-58.41488,0,1,40,4700,25000,"$",20,3,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--3012174",23,1,"argenprop"
"av santa fe al 1200",-34.59583,-58.38517,0,1,40,4800,23000,"$",23,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--10266035",23,1,"argenprop"
"paraguay al 4500",-34.58451,-58.42453,1,1,30,9700,36000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--9251705",35,2,"argenprop"
"av. corrientes al 4200",-34.60295,-58.42429,2,1,35,12200,58000,"$",85,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10529406",85,3,"argenprop"
"av b rivadavia 3400, piso 9",-34.61081,-58.41488,1,1,50,6700,28000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10713296",38,2,"argenprop"
"fray justo santa maría de oro 2900",-34.5747,-58.42027,2,2,47,18000,83000,"$",85,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10191748",89,3,"argenprop"
"avenida general paz 10300",-34.61023,-58.52836,1,1,41,3900,30000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-liniers-2-ambientes--10713265",42,2,"argenprop"
"av gaona 2900, piso 2",-34.61668,-58.46687,1,1,50,5200,28000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--4848629",37,2,"argenprop"
"palpa al 2300",-34.56841,-58.44569,1,1,35,3900,45000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10713262",40,2,"argenprop"
"rodriguez peña  1000",-34.59652,-58.39171,1,1,42,7000,37500,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10383138",34,2,"argenprop"
"mario bravo 1100",52.72061,58.66575,0,1,51,3000,24000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--8337417",28,1,"argenprop"
"cabello al 3200",-34.58186,-58.40687,1,1,40,6200,28000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9890080",45,2,"argenprop"
"av. cabildo  al 3400",-34.55069,-58.46667,3,1,20,30000,150000,"$",150,40,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-5-ambientes--10692628",190,4,"argenprop"
"lavalle al 3600",-34.60046,-58.41641,1,1,35,4500,34000,"$",34,2,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10334593",36,2,"argenprop"
"forest al 400",-34.58692,-58.45258,2,1,40,7000,50000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-chacarita-3-ambientes--10704380",60,3,"argenprop"
"fitz roy 1900",-34.58187,-58.43386,2,2,8,8900,85000,"$",57,6,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--10478079",63,3,"argenprop"
"videla castillo  800, piso pb",-34.61527,-58.44271,2,1,35,,50000,"$",41,8,"https://www.argenprop.com/ph-en-alquiler-en-caballito-3-ambientes--9674942",49,3,"argenprop"
"moron 3800",-34.62707,-58.48315,2,1,,5400,48000,"$",57,6,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-3-ambientes--10694325",63,3,"argenprop"
"tucumán 300",-34.60074,-58.37146,4,1,60,10000,50000,"$",90,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro--10679795",90,5,"argenprop"
"baigorria 3900, piso 2",-34.60954,-58.50063,0,,,,22000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--10550909",25,1,"argenprop"
"gorostiaga al 2200 - 4 ambientes |  las cañitas, palermo",-34.56582,-58.43692,3,3,15,25000,2000,"USD",135,0,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--10713220",135,4,"argenprop"
"sanchez de bustamante 300, piso 2",-34.60553,-58.41492,1,1,,5300,31000,"$",33,4,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10628125",37,2,"argenprop"
"josé andrés pacheco de melo 2600",-34.58717,-58.40096,1,1,35,8000,32000,"$",41,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9693496",41,2,"argenprop"
"roseti al 1300",-34.58194,-58.46127,2,1,15,,58000,"$",50,8,"https://www.argenprop.com/ph-en-alquiler-en-villa-ortuzar-3-ambientes--10619322",58,3,"argenprop"
"carlos maría ramirez  2300, piso p.b.",-34.65945,-58.4303,1,1,60,,30000,"$",50,5,"https://www.argenprop.com/ph-en-alquiler-en-villa-soldati-2-ambientes--7987498",55,2,"argenprop"
"avenida cerviño 3900",-34.57856,-58.41439,3,2,41,16000,120000,"$",91,30,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--10676639",121,4,"argenprop"
"i pieres 200, piso 5",-34.64276,-58.51469,2,1,25,4500,46000,"$",55,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-3-ambientes--6440850",55,3,"argenprop"
"cerrito 1500",-34.58995,-58.38278,2,2,50,21000,57000,"$",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--9387744",70,3,"argenprop"
"juan ramírez de velasco 600",-34.59706,-58.43772,1,1,41,8123,35000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10713125",43,2,"argenprop"
"bacacay 3700, piso 1",-34.63084,-58.47974,1,,,,26000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-norte--10094593",50,2,"argenprop"
"av.rivadavia 7400, piso 7",-34.63067,-58.47,1,1,,,28000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--8926231",36,2,"argenprop"
"sanabria 4500",-34.59818,-58.51839,1,1,50,5500,40000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--10713078",38,2,"argenprop"
"suipacha  1300",-34.59175,-58.37996,2,3,16,68000,120000,"$",104.55,18.34,"https://www.argenprop.com/departamento-en-alquiler-en-plaza-san-martin-3-ambientes--9873647",122.89,3,"argenprop"
"montevideo 1700",-34.59037,-58.38658,3,2,51,22000,80000,"$",95,8,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--9022901",103,4,"argenprop"
"av. nazca 100",-34.62986,-58.47011,1,1,,2800,28000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10124683",25,2,"argenprop"
"zamudio 4500, piso 4",-34.58407,-58.49548,0,1,7,6450,32000,"$",38,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--10044490",41,1,"argenprop"
"belaustegui, luis dr. 4200",-34.62608,-58.49095,0,,6,4300,23000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-1-ambiente--10713018",28,1,"argenprop"
