"","ubicacion","lat","lon","precio_moneda","precio","ambientes","habitaciones","sup_des","sup_cub","fecha","expensas","href","tipo","fuente","sup_total"
"2048","Ruggieri al 2900",-34.5806143,-58.406772,"USD",2000,3,2,139,120,2021-09-09,25500,"https://www.properati.com.ar/detalle/3yzo2_alquiler_departamento_palermo-chico_balcon_suite_gimnasio_lavadero_piscina_toilette_luminoso_vista_sauna_garage_tenis_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_solarium_vigilancia_evoluer_h6o","depto","properati",139
"2049","PADILLA 700",-34.5995523496,-58.4434982023,"ars",35000,2,1,39,36,2021-09-09,,"https://www.properati.com.ar/detalle/3yzt0_alquiler_departamento_villa-crespo_baulera_jardin_lavadero_tenis_placard_subte-linea-b_ciclovias-y-bicisendas-de-buenos-aires_cocina_vigilancia_migliorisi-villa-crespo","depto","properati",39
"2050","GELLY Y OBES  2200 PISO 5",-34.5861934,-58.3968154,"ARS",680000,9,4,390,340,2021-09-09,104000,"https://www.properati.com.ar/detalle/3z0qw_alquiler_departamento_recoleta_balcon_baulera_suite_lavadero_terraza_luminoso_garage_aire-acondicionado_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vigilancia_calefaccion_ba-propiedades-sa_m0g","depto","properati",390
"2051","Estado de Israel al 4500",-34.5995107,-58.4302031,"ARS",50000,3,2,60,55,2021-09-09,10000,"https://www.properati.com.ar/detalle/3z10j_alquiler_departamento_villa-crespo_balcon_luminoso_garage_subte-linea-b_ciclovias-y-bicisendas-de-buenos-aires_goldstein-propiedades","depto","properati",60
"2052","Callao al 1400",-34.5925992,-58.3926311,"USD",1000,4,2,124,117,2021-09-09,23000,"https://www.properati.com.ar/detalle/3z10k_alquiler_departamento_recoleta_lavadero_lujoso_dependencias_subte-linea-d_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_comedor_living-comedor_vigilancia_calefaccion_bullrich-recoleta","depto","properati",124
"2053","ALQUILER TEMPORAL 2 AMBIENTES AMOBLADO, TORRES DEL YACHT - PUERTO MADERO",,,"USD",1200,2,1,66,66,2021-09-09,,"https://www.properati.com.ar/detalle/3z13u_alquiler_departamento_puerto-madero_balcon_suite_gimnasio_piscina_sum_toilette_luminoso_vista_sauna_garage_amenities_placard_losa-radiante_living_cochera_comedor_living-comedor_vigilancia_calefaccion_torre-alvear","depto","properati",66
"2054","Libertad al 1000",-34.5965234,-58.3841235,"ARS",170000,4,3,168,168,2021-09-09,31920,"https://www.properati.com.ar/detalle/3z14j_alquiler_departamento_recoleta_suite_lavadero_dependencias_doble-circulacion_subte-linea-d_subte-linea-c_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_comedor_living-comedor_duprat-inmobiliaria_hmp1","depto","properati",168
"2055","PARANA al 1000",-34.5968133,-58.3882386,"ARS",32000,2,1,36,36,2021-09-09,8692,"https://www.properati.com.ar/detalle/3z14r_alquiler_departamento_recoleta_impecable_placard_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_ascensor_brick-propiedades-servicios_hivh","depto","properati",36
"2056","Bulnes 2500",-34.5826567,-58.4071263,"ARS",32000,2,1,,,2021-09-09,8500,"https://www.properati.com.ar/detalle/3yyyv_alquiler_departamento_palermo_lavadero_luminoso_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_del-vecchio-negocios-inmobiliarios","depto","properati",
"2057","Mendoza 3000",-34.5647941,-58.4639906,"USD",400,1,,39,34,2021-09-09,,"https://www.properati.com.ar/detalle/3yz5p_alquiler-temporal_departamento_belgrano_balcon_gimnasio_hidromasaje_lavadero_parrilla_piscina_luminoso_sauna_lujoso_electrogeno_garage_amenities_losa-radiante_ciclovias-y-bicisendas-de-buenos-aires_cocina_cochera_ascensor_solarium_vigilancia_calefac","depto","properati",39
"2058","Fray Justo Santa María de Oro 2700",-34.5766528,-58.4222179,"USD",490,2,1,55,55,2021-09-09,,"https://www.properati.com.ar/detalle/3yz6w_alquiler_departamento_palermo_balcon_lavadero_parrilla_piscina_sum_toilette_luminoso_amoblado_amenities_placard_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_solarium_vigilancia_calefacc","depto","properati",55
"2059","Crisologo Larralde al 3000",-34.5522228727,-58.4741213656,"ARS",40000,2,1,,,2021-09-09,7000,"https://www.properati.com.ar/detalle/3yzjd_alquiler_departamento_saavedra_lavadero_patio_luminoso_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_carlos-castano-propiedades_hm0f","depto","properati",
"2060","AZUCENA VILLAFLOR al 400",-34.6121094,-58.3625477,"USD",4500,4,3,195,195,2021-09-09,,"https://www.properati.com.ar/detalle/3yzkj_alquiler_departamento_puerto-madero_balcon_baulera_suite_gimnasio_lavadero_piscina_sum_toilette_vestidor_luminoso_vista_dependencias_garage_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_solarium_vigilancia_agust","depto","properati",195
